fn,roi#,t1,x,y,mortality,status,peak,valley,valley_t,peak_t,threshold_t-
d68420c062db9635341aa28cb079334b.tif.mortality.tab,123,0.00698805555556,482.0,44.0,39.0083994444,1,7046.0721747475027,251.82995393471484,12.0067911111,39.0083994444,38.0080105556
d68420c062db9635341aa28cb079334b.tif.mortality.tab,125,0.00698805555556,42.0,9.0,47.0073316667,1,1022.3136715850859,133.7913440097299,28.0080213889,54.0088119444,46.007025
d68420c062db9635341aa28cb079334b.tif.mortality.tab,126,0.00698805555556,605.0,9.0,35.008695,1,1279.7330291392805,118.31665939174101,12.0067911111,39.0083994444,34.0082825
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,0,0.0211661111111,958.0,1030.0,43.0231272222,1,1263.018355969969,202.77479390804538,23.0207897222,43.0231272222,42.0221461111
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,1,0.0211661111111,971.0,1016.0,43.0231272222,1,1147.5765969612039,204.98158703692826,19.0213822222,43.0231272222,42.0221461111
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,2,0.0211661111111,890.0,1012.0,31.0218261111,1,4979.2786574969978,276.65221636325293,5.02148666667,31.0218261111,30.0218688889
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,3,0.0211661111111,203.0,1012.0,30.0218688889,1,2962.5385183976332,264.31068549063536,17.0205258333,30.0218688889,29.0218566667
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,4,0.0211661111111,930.0,973.0,44.0221608333,1,5729.2162064601853,302.0,0.0211661111111,56.0223055556,43.0231272222
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,5,0.0211661111111,324.0,972.0,21.0212908333,1,9665.5504126441992,296.55591358804998,13.0224888889,22.0217055556,20.0199813889
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,6,0.0211661111111,245.0,972.0,18.0197197222,1,1409.0705978001909,228.85153060067771,14.0217625,54.0227233333,17.0205258333
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,7,0.0211661111111,1089.0,935.0,47.02128,1,3320.6563506985099,242.48638496576237,18.0197197222,49.0217763889,46.0209308333
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,8,0.0211661111111,1293.0,934.0,47.02128,1,5093.5572500170201,247.92575411636628,20.0199813889,47.02128,46.0209308333
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,9,0.0211661111111,446.0,934.0,45.0227797222,1,4928.2709698590397,219.94837858396187,21.0212908333,45.0227797222,44.0221608333
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,10,0.0211661111111,1292.0,894.0,47.02128,1,4451.7638839194533,278.81381743885498,19.0213822222,49.0217763889,46.0209308333
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,11,0.0211661111111,205.0,892.0,19.0213822222,1,7630.9496027254563,364.0,0.0211661111111,19.0213822222,18.0197197222
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,12,0.0211661111111,568.0,854.0,51.0221327778,1,335.70004700705152,185.63490964313874,48.0225480556,78.3894063889,50.0214905556
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,13,0.0211661111111,1212.0,814.0,44.0221608333,1,7108.1676138633675,306.59667420113146,8.01981861111,45.0227797222,43.0231272222
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,14,0.0211661111111,1172.0,813.0,29.0218566667,1,3506.8641014440368,267.15609684907707,19.0213822222,43.0231272222,28.02195
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,15,0.0211661111111,1293.0,814.0,56.0223055556,1,860.04636224629633,175.04498813316107,32.021025,56.0223055556,55.02257
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,16,0.0211661111111,368.0,813.0,35.0225947222,1,4235.8162584066995,259.73437050726011,18.0197197222,37.0205438889,34.0222025
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,18,0.0211661111111,932.0,773.0,39.0221447222,1,6977.5178004652489,302.04278588287644,14.0217625,40.0212272222,38.0218777778
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,19,0.0211661111111,568.0,772.0,42.0221461111,1,5586.5260118834167,330.2319323951906,7.02190361111,43.0231272222,41.0222119444
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,20,0.0211661111111,327.0,772.0,30.0218688889,1,4640.5126776063735,271.0,0.0211661111111,30.0218688889,29.0218566667
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,21,0.0211661111111,851.0,732.0,31.0218261111,1,5110.3674643632585,334.0,0.0211661111111,32.021025,30.0218688889
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,22,0.0211661111111,730.0,733.0,22.0217055556,1,8483.7111394099375,304.0,0.0211661111111,23.0207897222,21.0212908333
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,23,0.0211661111111,286.0,732.0,40.0212272222,1,5717.5259469968769,294.907640207442,16.0208255556,40.0212272222,39.0221447222
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,24,0.0211661111111,1013.0,733.0,53.0225119444,1,3577.8787304753405,200.12420345785412,19.0213822222,55.02257,52.0226622222
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,25,0.0211661111111,46.0,730.0,36.0203727778,1,4318.5797374403319,279.85659232509522,9.02018194444,37.0205438889,35.0225947222
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,26,0.0211661111111,690.0,692.0,47.02128,1,4306.5153821016174,272.00038520206039,1.02733916667,47.02128,46.0209308333
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,27,0.0211661111111,85.0,691.0,34.0222025,1,5839.9168077765235,256.59498491069576,2.02134527778,35.0225947222,33.0207680556
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,28,0.0211661111111,492.0,654.0,21.0212908333,1,1991.9946102897347,276.97135850321689,10.0203661111,22.0217055556,20.0199813889
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,29,0.0211661111111,891.0,653.0,38.0218777778,1,3776.3573941879831,272.7260664525154,11.0219088889,39.0221447222,37.0205438889
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,30,0.0211661111111,207.0,651.0,45.0227797222,1,3574.1760848341351,233.3550985026165,18.0197197222,46.0209308333,44.0221608333
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,31,0.0211661111111,650.0,612.0,44.0221608333,1,4176.8532565719743,269.39963833116963,20.0199813889,54.0227233333,43.0231272222
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,32,0.0211661111111,165.0,611.0,33.0207680556,1,5436.3309834095553,275.42155040840737,12.0204488889,33.0207680556,32.021025
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,33,0.0211661111111,610.0,612.0,31.0218261111,1,3503.7548077148585,261.83161725581198,2.02134527778,41.0222119444,30.0218688889
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,34,0.0211661111111,973.0,573.0,38.0218777778,1,4714.2617140371558,268.02431511791082,14.0217625,38.0218777778,37.0205438889
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,35,0.0211661111111,288.0,571.0,43.0231272222,1,4169.7263451160161,319.8359735096671,10.0203661111,46.0209308333,42.0221461111
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,36,0.0211661111111,897.0,569.0,40.0212272222,1,3167.5026991827417,262.47438350886682,12.0204488889,40.0212272222,39.0221447222
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,37,0.0211661111111,1214.0,532.0,19.0213822222,1,6565.0753513371455,334.12417851181721,10.0203661111,23.0207897222,18.0197197222
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,38,0.0211661111111,891.0,532.0,35.0225947222,1,8547.4792451820194,329.46231366176767,6.0196775,36.0203727778,34.0222025
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,39,0.0211661111111,250.0,530.0,48.0225480556,1,5773.8858102796949,303.25198320984634,8.01981861111,48.0225480556,47.02128
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,40,0.0211661111111,572.0,493.0,27.0202111111,1,4929.1904337057522,256.42630933185541,8.01981861111,27.0202111111,26.0216216667
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,41,0.0211661111111,169.0,492.0,12.0204488889,1,10391.866959640292,299.79720175790476,2.02134527778,12.0204488889,11.0219088889
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,42,0.0211661111111,772.0,491.0,52.0226622222,1,4330.9680101037975,257.88430056302872,7.02190361111,52.0226622222,51.0221327778
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,43,0.0211661111111,127.0,491.0,19.0213822222,1,6462.6630630096888,344.88087118921533,1.02733916667,20.0199813889,18.0197197222
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,44,0.0211661111111,773.0,453.0,47.02128,1,3257.5514502821256,275.86596612841856,13.0224888889,49.0217763889,46.0209308333
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,45,0.0211661111111,651.0,452.0,23.0207897222,1,5216.6424036293674,329.26362419196784,1.02733916667,25.0216091667,22.0217055556
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,46,0.0211661111111,290.0,452.0,47.02128,1,4919.7823343846621,263.78224619353989,10.0203661111,48.0225480556,46.0209308333
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,47,0.0211661111111,733.0,452.0,18.0197197222,1,7971.6130823263393,313.64637719472034,1.02733916667,18.0197197222,17.0205258333
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,48,0.0211661111111,86.0,434.0,30.0218688889,1,1484.5369935423196,207.0,0.0211661111111,44.0221608333,29.0218566667
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,49,0.0211661111111,169.0,412.0,29.0218566667,1,10022.327179264063,329.31474551917864,3.02147944444,29.0218566667,28.02195
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,50,0.0211661111111,250.0,411.0,25.0216091667,1,4391.4540043734587,307.52185794805655,3.02147944444,25.0216091667,24.0223919444
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,51,0.0211661111111,88.0,412.0,44.0221608333,1,5202.538176823653,268.43520336398387,23.0207897222,46.0209308333,43.0231272222
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,52,0.0211661111111,1254.0,372.0,41.0222119444,1,3968.3414150992376,274.95318127916988,18.0197197222,42.0221461111,40.0212272222
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,53,0.0211661111111,531.0,372.0,37.0205438889,1,3752.9078439179971,272.98142160465818,16.0208255556,38.0218777778,36.0203727778
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,54,0.0211661111111,88.0,333.0,22.0217055556,1,5981.8564202873386,319.29821018999945,5.02148666667,23.0207897222,21.0212908333
5cb9d778076c2dd6e67933469678844c.tif.mortality.tab,55,0.0211661111111,1294.0,332.0,7.02190361111,1,388.57679677596633,243.31315743925597,6.0196775,7.02190361111,6.0196775
